pc25u	pc25c	ap24u	ap24c	pc25pcsl	ap24pcsl	pc25uname	ap24uname	oid
12B54	𒭔	12CD5	𒳕	|ZATU651×ZAR~c|	|ZATU651×ZAR~c|	ZATU651 TIMES ZAR-C	ZATU651 TIMES ZAR-C	o0902504
12B55	𒭕	12CD6	𒳖	ZATU651@g	ZATU651@g	ZATU651@g	ZATU651 GUNU	o0902505
12B56	𒭖	12CDA	𒳚	ZATU659	ZATU659	ZATU659	ZATU659	o0902506
12B57	𒭗	12CDB	𒳛	|ZATU659×1(N01)|	|ZATU659×1(N01)|	ZATU659 TIMES ONE-N1	ZATU659 TIMES ONE-N1	o0902507
12B58	𒭘	12CDC	𒳜	|ZATU659×1(N14)|	|ZATU659×1(N14)|	ZATU659 TIMES ONE-N14	ZATU659 TIMES ONE-N14	o0902508
12B59	𒭙	12CDD	𒳝	|ZATU659×1(N58@t)|	|ZATU659×1(N58@t)|	ZATU659 TIMES ONE-N58 TENU	ZATU659 TIMES ONE-N58 TENU	o0902509
12B5A	𒭚	12CDE	𒳞	ZATU662	ZATU662	ZATU662	ZATU662	o0902511
12B5B	𒭛	12CDF	𒳟	|ZATU662×1(N14)|	|ZATU662×1(N14)|	ZATU662 TIMES ONE-N14	ZATU662 TIMES ONE-N14	o0902515
12B5C	𒭜	12CE5	𒳥	ZATU664	ZATU664	ZATU664	ZATU664	o0902518
12B5D	𒭝	12CE6	𒳦	ZATU665	ZATU665	ZATU665	ZATU665	o0902519
12B5E	𒭞	12CE7	𒳧	ZATU666	ZATU666	ZATU666	ZATU666	o0902520
12B5F	𒭟	12CE8	𒳨	ZATU667	ZATU667	ZATU667	ZATU667	o0902521
12B60	𒭠	12CE9	𒳩	ZATU668	ZATU668	ZATU668	ZATU668	o0902522
12B61	𒭡	12CEA	𒳪	ZATU669	ZATU669	ZATU669	ZATU669	o0902523
12B62	𒭢	12CEB	𒳫	ZATU670	ZATU670	ZATU670	ZATU670	o0902524
12B63	𒭣	12CEC	𒳬	ZATU672	ZATU672	ZATU672	ZATU672	o0902525
12B64	𒭤	12CEE	𒳮	ZATU675~a	ZATU675~a	ZATU675-A	ZATU675-A	o0902528
12B65	𒭥	12CEF	𒳯	ZATU675~b	ZATU675~b	ZATU675-B	ZATU675-B	o0902529
12B66	𒭦	12CF1	𒳱	ZATU675~c	ZATU675~c	ZATU675-C	ZATU675-C	o0902531
12B67	𒭧	12CF2	𒳲	ZATU675~d	ZATU675~d	ZATU675-D	ZATU675-D	o0902532
12B68	𒭨	12CF3	𒳳	ZATU676~a	ZATU676~a	ZATU676-A	ZATU676-A	o0902534
12B69	𒭩	12CF4	𒳴	ZATU676~b	ZATU676~b	ZATU676-B	ZATU676-B	o0902535
12B6A	𒭪	12CF5	𒳵	ZATU677~a	ZATU677~a	ZATU677-A	ZATU677-A	o0902537
12B6B	𒭫	12CF6	𒳶	ZATU677~b	ZATU677~b	ZATU677-B	ZATU677-B	o0902538
12B6C	𒭬	12CF7	𒳷	ZATU678	ZATU678	ZATU678	ZATU678	o0902539
12B6D	𒭭	12CF8	𒳸	ZATU679	ZATU679	ZATU679	ZATU679	o0902540
12B6E	𒭮	12CF9	𒳹	ZATU680~a1	ZATU680~a1	ZATU680-A1	ZATU680-A1	o0902542
12B6F	𒭯	12CFA	𒳺	ZATU680~a2	ZATU680~a2	ZATU680-A2	ZATU680-A2	o0902543
12B70	𒭰	12CFB	𒳻	ZATU680~b	ZATU680~b	ZATU680-B	ZATU680-B	o0902544
12B71	𒭱	12CFD	𒳽	ZATU680~d	ZATU680~d	ZATU680-D	ZATU680-D	o0902546
12B72	𒭲	12CFE	𒳾	ZATU680~e	ZATU680~e	ZATU680-E	ZATU680-E	o0902547
12B73	𒭳	12CFF	𒳿	ZATU681	ZATU681	ZATU681	ZATU681	o0902548
12B74	𒭴	12D00	𒴀	ZATU682	ZATU682	ZATU682	ZATU682	o0902549
12B75	𒭵	12D01	𒴁	ZATU683~a	ZATU683~a	ZATU683-A	ZATU683-A	o0902551
12B76	𒭶	12D02	𒴂	ZATU683~b	ZATU683~b	ZATU683-B	ZATU683-B	o0902552
12B77	𒭷	12D04	𒴄	ZATU684	ZATU684	ZATU684	ZATU684	o0902554
12B78	𒭸	12D05	𒴅	ZATU685	ZATU685	ZATU685	ZATU685	o0902555
12B79	𒭹	12D06	𒴆	ZATU686~a	ZATU686~a	ZATU686-A	ZATU686-A	o0902557
12B7A	𒭺	12D07	𒴇	ZATU686~b	ZATU686~b	ZATU686-B	ZATU686-B	o0902558
12B7B	𒭻	12D08	𒴈	ZATU686~c	ZATU686~c	ZATU686-C	ZATU686-C	o0902559
12B7C	𒭼	12D09	𒴉	ZATU687	ZATU687	ZATU687	ZATU687	o0902560
12B7D	𒭽	12D0A	𒴊	ZATU688~a	ZATU688~a	ZATU688-A	ZATU688-A	o0902562
12B7E	𒭾	12D0B	𒴋	ZATU688~b	ZATU688~b	ZATU688-B	ZATU688-B	o0902563
12B7F	𒭿	12D0C	𒴌	ZATU689	ZATU689	ZATU689	ZATU689	o0902564
12B80	𒮀	12D0D	𒴍	ZATU690	ZATU690	ZATU690	ZATU690	o0902565
12B81	𒮁	12D0E	𒴎	ZATU691	ZATU691	ZATU691	ZATU691	o0902566
12B82	𒮂	12D0F	𒴏	ZATU692	ZATU692	ZATU692	ZATU692	o0902567
12B83	𒮃	12D10	𒴐	ZATU693	ZATU693	ZATU693	ZATU693	o0902568
12B84	𒮄	12D11	𒴑	ZATU693@t	ZATU693@t	ZATU693@t	ZATU693 TENU	o0902571
12B85	𒮅	12D14	𒴔	ZATU694~a	ZATU694~a	ZATU694-A	ZATU694-A	o0902573
12B86	𒮆	12D15	𒴕	ZATU694~b	ZATU694~b	ZATU694-B	ZATU694-B	o0902574
12B87	𒮇	12D16	𒴖	ZATU694~c	ZATU694~c	ZATU694-C	ZATU694-C	o0902575
12B88	𒮈	12D18	𒴘	ZATU694~d	ZATU694~d	ZATU694-D	ZATU694-D	o0902577
12B89	𒮉	12D19	𒴙	ZATU694~d@t	ZATU694~d@t	ZATU694-D@t	ZATU694-D TENU	o0902580
12B8A	𒮊	12D1A	𒴚	ZATU695	ZATU695	ZATU695	ZATU695	o0902581
12B8B	𒮋	12D1B	𒴛	ZATU696	ZATU696	ZATU696	ZATU696	o0902582
12B8C	𒮌	12D1C	𒴜	ZATU697~a	ZATU697~a	ZATU697-A	ZATU697-A	o0902584
12B8D	𒮍	12D20	𒴠	ZATU697~b	ZATU697~b	ZATU697-B	ZATU697-B	o0902588
12B8E	𒮎	12D23	𒴣	ZATU699~b	ZATU699~b	ZATU699-B	ZATU699-B	o0902592
12B8F	𒮏	12D24	𒴤	ZATU700	ZATU700	ZATU700	ZATU700	o0902593
12B90	𒮐	12D25	𒴥	ZATU701	ZATU701	ZATU701	ZATU701	o0902594
12B91	𒮑	12D26	𒴦	ZATU702	ZATU702	ZATU702	ZATU702	o0902595
12B92	𒮒	12D27	𒴧	ZATU703	ZATU703	ZATU703	ZATU703	o0902596
12B93	𒮓	12D28	𒴨	ZATU704	ZATU704	ZATU704	ZATU704	o0902597
12B94	𒮔	12D29	𒴩	ZATU705	ZATU705	ZATU705	ZATU705	o0902598
12B95	𒮕	12D2A	𒴪	ZATU706	ZATU706	ZATU706	ZATU706	o0902599
12B96	𒮖	12D2B	𒴫	ZATU707~a	ZATU707~a	ZATU707-A	ZATU707-A	o0902601
12B97	𒮗	12D2C	𒴬	ZATU707~b	ZATU707~b	ZATU707-B	ZATU707-B	o0902602
12B98	𒮘	12D2D	𒴭	ZATU708	ZATU708	ZATU708	ZATU708	o0902603
12B99	𒮙	12D2E	𒴮	ZATU709	ZATU709	ZATU709	ZATU709	o0902604
12B9A	𒮚	12D2F	𒴯	ZATU710	ZATU710	ZATU710	ZATU710	o0902605
12B9B	𒮛	12D31	𒴱	ZATU711	ZATU711	ZATU711	ZATU711	o0902607
12B9C	𒮜	12D33	𒴳	|ZATU711×HI@g~a|	|ZATU711~v1×HI@g~a|	ZATU711 TIMES HI GUNU-A	ZATU711 VARIANT 1 TIMES HI GUNU-A	o0902610
12B9D	𒮝	12D35	𒴵	ZATU713	ZATU713	ZATU713	ZATU713	o0902612
12B9E	𒮞	12D36	𒴶	ZATU714	ZATU714	ZATU714	ZATU714	o0902613
12B9F	𒮟	12D38	𒴸	|ZATU714×HI@g~a|	|ZATU714×HI@g~a|	ZATU714 TIMES HI GUNU-A	ZATU714 TIMES HI GUNU-A	o0902616
12BA0	𒮠	12D3A	𒴺	ZATU717	ZATU717	ZATU717	ZATU717	o0902618
12BA1	𒮡	12D3B	𒴻	ZATU718	ZATU718	ZATU718	ZATU718	o0902619
12BA2	𒮢	12D3C	𒴼	ZATU719	ZATU719	ZATU719	ZATU719	o0902620
12BA3	𒮣	12D3D	𒴽	ZATU720	ZATU720	ZATU720	ZATU720	o0902621
12BA4	𒮤	12D3E	𒴾	ZATU721	ZATU721	ZATU721	ZATU721	o0902622
12BA5	𒮥	12D3F	𒴿	ZATU722	ZATU722	ZATU722	ZATU722	o0902623
12BA6	𒮦	12D40	𒵀	ZATU723	ZATU723	ZATU723	ZATU723	o0902624
12BA7	𒮧	12D41	𒵁	ZATU724	ZATU724	ZATU724	ZATU724	o0902625
12BA8	𒮨	12D42	𒵂	ZATU725	ZATU725	ZATU725	ZATU725	o0902626
12BA9	𒮩	12D44	𒵄	ZATU726~a	ZATU726~a	ZATU726-A	ZATU726-A	o0902629
12BAA	𒮪	12D45	𒵅	ZATU726~c	ZATU726~c	ZATU726-C	ZATU726-C	o0902630
12BAB	𒮫	12D46	𒵆	ZATU726~d	ZATU726~d	ZATU726-D	ZATU726-D	o0902631
12BAC	𒮬	12D47	𒵇	ZATU727	ZATU727	ZATU727	ZATU727	o0902632
12BAD	𒮭	12D48	𒵈	ZATU728	ZATU728	ZATU728	ZATU728	o0902633
12BAE	𒮮	12D49	𒵉	ZATU729	ZATU729	ZATU729	ZATU729	o0902634
12BAF	𒮯	12D4B	𒵋	ZATU730	ZATU730	ZATU730	ZATU730	o0902636
12BB0	𒮰	12D4C	𒵌	ZATU732	ZATU732	ZATU732	ZATU732	o0902637
12BB1	𒮱	12D4E	𒵎	ZATU734	ZATU734	ZATU734	ZATU734	o0902639
12BB2	𒮲	12D4F	𒵏	ZATU735~a	ZATU735~a	ZATU735-A	ZATU735-A	o0902641
12BB3	𒮳	12D50	𒵐	ZATU735~b	ZATU735~b	ZATU735-B	ZATU735-B	o0902642
12BB4	𒮴	12D53	𒵓	ZATU735~c	ZATU735~c	ZATU735-C	ZATU735-C	o0902645
12BB5	𒮵	12D54	𒵔	ZATU736~a	ZATU736~a	ZATU736-A	ZATU736-A	o0902647
12BB6	𒮶	12D55	𒵕	ZATU736~b	ZATU736~b	ZATU736-B	ZATU736-B	o0902648
12BB7	𒮷	12D56	𒵖	ZATU737	ZATU737	ZATU737	ZATU737	o0902649
12BB8	𒮸	12D57	𒵗	|ZATU737×AB~a|	|ZATU737×AB~a|	ZATU737 TIMES AB-A	ZATU737 TIMES AB-A	o0902653
12BB9	𒮹	12D58	𒵘	|ZATU737×BU~a|	|ZATU737×BU~a|	ZATU737 TIMES BU-A	ZATU737 TIMES BU-A	o0902655
12BBA	𒮺	12D59	𒵙	|ZATU737×BUR~a|	|ZATU737×BUR~a|	ZATU737 TIMES BUR-A	ZATU737 TIMES BUR-A	o0902657
12BBB	𒮻	12D5A	𒵚	|ZATU737×DI|	|ZATU737×DI|	ZATU737 TIMES DI	ZATU737 TIMES DI	o0902658
12BBC	𒮼	12D5C	𒵜	|ZATU737×EN~a|	|ZATU737×EN~a~v2|	ZATU737 TIMES EN-A	ZATU737 TIMES EN-A VARIANT 2	o0902663
12BBD	𒮽	12D5D	𒵝	|ZATU737×GAR|	|ZATU737×GAR|	ZATU737 TIMES GAR	ZATU737 TIMES GAR	o0902665
12BBE	𒮾	12D5E	𒵞	|ZATU737×NI~a@g|	|ZATU737×NI~a@g|	ZATU737 TIMES NI-A GUNU	ZATU737 TIMES NI-A GUNU	o0902669
12BBF	𒮿	12D5F	𒵟	|ZATU737×NIMGIR|	|ZATU737×NIMGIR|	ZATU737 TIMES NIMGIR	ZATU737 TIMES NIMGIR	o0902670
12BC0	𒯀	12D60	𒵠	|ZATU737×SU~a|	|ZATU737×SU~a|	ZATU737 TIMES SU-A	ZATU737 TIMES SU-A	o0902673
12BC1	𒯁	12D61	𒵡	|ZATU737×ŠE~a|	|ZATU737×ŠE~a|	ZATU737 TIMES SHE-A	ZATU737 TIMES SHE-A	o0902675
12BC2	𒯂	12D62	𒵢	|ZATU737×ŠITA~a1|	|ZATU737×ŠITA~a1|	ZATU737 TIMES SHITA-A1	ZATU737 TIMES SHITA-A1	o0902677
12BC3	𒯃	12D63	𒵣	|ZATU737×UNUG~a|	|ZATU737×UNUG~a~v1|	ZATU737 TIMES UNUG-A	ZATU737 TIMES UNUG-A VARIANT 1	o0902682
12BC4	𒯄	12D65	𒵥	|ZATU737×EN~b|	|ZATU737~v1×EN~b~v1|	ZATU737 TIMES EN-B	ZATU737 VARIANT 1 TIMES EN-B VARIANT 1	o0902664
12BC5	𒯅	12D6A	𒵪	|ZATU737×SAL|	|ZATU737~v3×SAL|	ZATU737 TIMES SAL	ZATU737 VARIANT 3 TIMES SAL	o0902671
12BC6	𒯆	12D6B	𒵫	|ZATU737×U₄|	|ZATU737~v3×U₄|	ZATU737 TIMES U4	ZATU737 VARIANT 3 TIMES U4	o0902680
12BC7	𒯇	12D6C	𒵬	ZATU749~a	ZATU749~a	ZATU749-A	ZATU749-A	o0902687
12BC8	𒯈	12D6F	𒵯	ZATU749~b	ZATU749~b	ZATU749-B	ZATU749-B	o0902690
12BC9	𒯉	12D70	𒵰	ZATU749~c	ZATU749~c	ZATU749-C	ZATU749-C	o0902691
12BCA	𒯊	12D71	𒵱	ZATU750	ZATU750	ZATU750	ZATU750	o0902692
12BCB	𒯋	12D75	𒵵	ZATU751~a	ZATU751~a	ZATU751-A	ZATU751-A	o0902697
12BCC	𒯌	12D76	𒵶	ZATU751~b	ZATU751~b	ZATU751-B	ZATU751-B	o0902698
12BCD	𒯍	12D77	𒵷	ZATU752	ZATU752	ZATU752	ZATU752	o0902699
12BCE	𒯎	12D79	𒵹	ZATU753	ZATU753	ZATU753	ZATU753	o0902701
12BCF	𒯏	12D7A	𒵺	ZATU754	ZATU754	ZATU754	ZATU754	o0902702
12BD0	𒯐	12D7B	𒵻	ZATU755~a	ZATU755~a	ZATU755-A	ZATU755-A	o0902704
12BD1	𒯑	12D7C	𒵼	ZATU755~b	ZATU755~b	ZATU755-B	ZATU755-B	o0902705
12BD2	𒯒	12D7D	𒵽	ZATU756	ZATU756	ZATU756	ZATU756	o0902706
12BD3	𒯓	12D7F	𒵿	ZATU757	ZATU757	ZATU757	ZATU757	o0902708
12BD4	𒯔	12D81	𒶁	ZATU758	ZATU758	ZATU758	ZATU758	o0902710
12BD5	𒯕	12D82	𒶂	ZATU759	ZATU759	ZATU759	ZATU759	o0902711
12BD6	𒯖	12D83	𒶃	|ZATU759×KU₆~a|	|ZATU759×KU₆~a|	ZATU759 TIMES KU6-A	ZATU759 TIMES KU6-A	o0902714
12BD7	𒯗	12D84	𒶄	|ZATU759×(KU₆~a+KU₆~a)|	|ZATU759×(KU₆~a+KU₆~a)|	ZATU759 TIMES KU6-A JOINING KU6-A	ZATU759 TIMES KU6-A JOINING KU6-A	o0902717
12BD8	𒯘	12D8A	𒶊	ZATU762~a	ZATU762~a	ZATU762-A	ZATU762-A	o0902722
12BD9	𒯙	12D8B	𒶋	|ZATU762~a×NIM~a|	|ZATU762~a×NIM~a|	ZATU762-A TIMES NIM-A	ZATU762-A TIMES NIM-A	o0902729
12BDA	𒯚	12D8E	𒶎	ZATU762~b	ZATU762~b	ZATU762-B	ZATU762-B	o0902725
12BDB	𒯛	12D8F	𒶏	|ZATU762~b×AB~a|	|ZATU762~b×AB~a|	ZATU762-B TIMES AB-A	ZATU762-B TIMES AB-A	o0902727
12BDC	𒯜	12D90	𒶐	ZATU764	ZATU764	ZATU764	ZATU764	o0902730
12BDD	𒯝	12D91	𒶑	ZATU765	ZATU765	ZATU765	ZATU765	o0902731
12BDE	𒯞	12D92	𒶒	ZATU766	ZATU766	ZATU766	ZATU766	o0902732
12BDF	𒯟	12D93	𒶓	ZATU767	ZATU767	ZATU767	ZATU767	o0902733
12BE0	𒯠	12D94	𒶔	ZATU768	ZATU768	ZATU768	ZATU768	o0902734
12BE1	𒯡	12D95	𒶕	ZATU769	ZATU769	ZATU769	ZATU769	o0902735
12BE2	𒯢	12D96	𒶖	ZATU771	ZATU771	ZATU771	ZATU771	o0902736
12BE3	𒯣	12D97	𒶗	ZATU772	ZATU772	ZATU772	ZATU772	o0902737
12BE4	𒯤	12D98	𒶘	ZATU773~a	ZATU773~a	ZATU773-A	ZATU773-A	o0902739
12BE5	𒯥	12D9A	𒶚	ZATU773~b	ZATU773~b	ZATU773-B	ZATU773-B	o0902741
12BE6	𒯦	12D9B	𒶛	ZATU774	ZATU774	ZATU774	ZATU774	o0902742
12BE7	𒯧	12D9C	𒶜	ZATU775	ZATU775	ZATU775	ZATU775	o0902743
12BE8	𒯨	12D9D	𒶝	ZATU776	ZATU776	ZATU776	ZATU776	o0902744
12BE9	𒯩	12D9F	𒶟	ZATU777	ZATU777	ZATU777	ZATU777	o0902746
12BEA	𒯪	12DA2	𒶢	ZATU778	ZATU778	ZATU778	ZATU778	o0902749
12BEB	𒯫	12DA4	𒶤	ZATU780	ZATU780	ZATU780	ZATU780	o0902751
12BEC	𒯬	12DA5	𒶥	ZATU781	ZATU781	ZATU781	ZATU781	o0902752
12BED	𒯭	12DA6	𒶦	ZATU782	ZATU782	ZATU782	ZATU782	o0902753
12BEE	𒯮	12DA7	𒶧	ZATU783	ZATU783	ZATU783	ZATU783	o0902754
12BEF	𒯯	12DA8	𒶨	ZATU784	ZATU784	ZATU784	ZATU784	o0902755
12BF0	𒯰	12DA9	𒶩	ZATU785	ZATU785	ZATU785	ZATU785	o0902756
12BF1	𒯱	12DAA	𒶪	ZATU786	ZATU786	ZATU786	ZATU786	o0902757
12BF2	𒯲	12DAB	𒶫	ZATU787	ZATU787	ZATU787	ZATU787	o0902758
12BF3	𒯳	12DAC	𒶬	ZATU788	ZATU788	ZATU788	ZATU788	o0902759
12BF4	𒯴	12DAE	𒶮	ZATU791	ZATU791	ZATU791	ZATU791	o0902761
12BF5	𒯵	12DAF	𒶯	ZATU792	ZATU792	ZATU792	ZATU792	o0902762
12BF6	𒯶	12DB0	𒶰	ZATU795	ZATU795	ZATU795	ZATU795	o0902763
12BF7	𒯷	12DB1	𒶱	ZATU797	ZATU797	ZATU797	ZATU797	o0902764
12BF8	𒯸	12DB2	𒶲	ZATU798	ZATU798	ZATU798	ZATU798	o0902765
12BF9	𒯹	12DB3	𒶳	ZATU799	ZATU799	ZATU799	ZATU799	o0902766
12BFA	𒯺	12DB4	𒶴	ZATU800	ZATU800	ZATU800	ZATU800	o0902767
12BFB	𒯻	12DB5	𒶵	ZATU801	ZATU801	ZATU801	ZATU801	o0902768
12BFC	𒯼	12DB6	𒶶	ZATU802	ZATU802	ZATU802	ZATU802	o0902769
12BFD	𒯽	F3051	󳁑	ZATU802~b		ZATU802-B		o0902770
12BFE	𒯾	12DB7	𒶷	ZATU803	ZATU803	ZATU803	ZATU803	o0902771
12BFF	𒯿	12DB8	𒶸	ZATU804	ZATU804	ZATU804	ZATU804	o0902772
12C00	𒰀	12DBA	𒶺	ZATU806	ZATU806	ZATU806	ZATU806	o0902774
12C01	𒰁	12DBB	𒶻	ZATU807	ZATU807	ZATU807	ZATU807	o0902775
12C02	𒰂	12DBC	𒶼	ZATU808	ZATU808	ZATU808	ZATU808	o0902776
12C03	𒰃	12DBD	𒶽	ZATU809	ZATU809	ZATU809	ZATU809	o0902777
12C04	𒰄	12DBE	𒶾	ZATU810	ZATU810	ZATU810	ZATU810	o0902778
12C05	𒰅	12DBF	𒶿	ZATU811	ZATU811	ZATU811	ZATU811	o0902779
12C06	𒰆	12DC0	𒷀	ZATU812	ZATU812	ZATU812	ZATU812	o0902780
12C07	𒰇	12DC1	𒷁	ZATU813	ZATU813	ZATU813	ZATU813	o0902781
12C08	𒰈	12DC4	𒷄	ZATU817	ZATU817	ZATU817	ZATU817	o0902784
12C09	𒰉	12DC5	𒷅	ZATU818	ZATU818	ZATU818	ZATU818	o0902785
12C0A	𒰊	12DD1	𒷑	ZATU832	ZATU832	ZATU832	ZATU832	o0902797
12C0B	𒰋	12DD2	𒷒	ZATU833	ZATU833	ZATU833	ZATU833	o0902798
12C0C	𒰌	12DD3	𒷓	ZATU834	ZATU834	ZATU834	ZATU834	o0902799
12C0D	𒰍	12DD4	𒷔	ZATU835	ZATU835	ZATU835	ZATU835	o0902800
12C0E	𒰎	12DD5	𒷕	ZATU836	ZATU836	ZATU836	ZATU836	o0902801
12C0F	𒰏	12DE2	𒷢	ZATU847	ZATU847	ZATU847	ZATU847	o0902815
12C10	𒰐	12DE5	𒷥	ZATU850	ZATU850	ZATU850	ZATU850	o0902818
12C11	𒰑	12DE6	𒷦	ZATU851	ZATU851	ZATU851	ZATU851	o0902819
12C12	𒰒	12DE9	𒷩	ZATU854	ZATU854	ZATU854	ZATU854	o0902822
12C13	𒰓	F3025	󳀥	ZATU858		ZATU858		o0902826
12C14	𒰔	F3052	󳁒	ZATU859		ZATU859		o0902827
12C15	𒰕	12DEB	𒷫	ZI~a	ZI~a	ZI-A	ZI-A	o0902829
12C16	𒰖	12DED	𒷭	ZI~b	ZI~b	ZI-B	ZI-B	o0902831
12C17	𒰗	12DEE	𒷮	ZI~d	ZI~d	ZI-D	ZI-D	o0902832
12C18	𒰘	12DEF	𒷯	ZUBI~a	ZUBI~a	ZUBI-A	ZUBI-A	o0902838
12C19	𒰙	F012D	󰄭	|1(N34)×1(N58)|		ONE-N34 TIMES ONE-N58		o0903060
12C1A	𒰚	F0110	󰄐	1(N57)		PROTO-CUNEIFORM NUMBER ONE-N57		o0903210
12C1B	𒰛	F0111	󰄑	2(N57)		PROTO-CUNEIFORM NUMBER TWO-N57		o0903222
12C1C	𒰜	F0112	󰄒	3(N57)		PROTO-CUNEIFORM NUMBER THREE-N57		o0903234
12C1D	𒰝	F0113	󰄓	4(N57)		PROTO-CUNEIFORM NUMBER FOUR-N57		o0903257
12C1E	𒰞	F0114	󰄔	5(N57)		PROTO-CUNEIFORM NUMBER FIVE-N57		o0903264
12C1F	𒰟	F0115	󰄕	6(N57)		PROTO-CUNEIFORM NUMBER SIX-N57		o0903268
12C20	𒰠	F0116	󰄖	7(N57)		PROTO-CUNEIFORM NUMBER SEVEN-N57		o0903273
12C21	𒰡	F0117	󰄗	8(N57)		PROTO-CUNEIFORM NUMBER EIGHT-N57		o0903275
12C22	𒰢	F0118	󰄘	9(N57)		PROTO-CUNEIFORM NUMBER NINE-N57		o0903278
12C23	𒰣	F0119	󰄙	10(N57)		PROTO-CUNEIFORM NUMBER TEN-N57		o0903279
