o0900013	AB~a
o0900042	AB₂
o0900044	|AB₂×2(N14)|
o0900048	ABGAL
o0900078	AMA~a
o0900083	AMAR
o0900084	AMAR
o0900091	AN
o0900107	ARARMA₂~a
o0900125	BAHAR₂~a
o0900127	BAHAR₂~b
o0900132	BALA~b
o0900134	BALAG
o0900137	BAN~a
o0900138	BAN~a
o0900159	BARA₂~a
o0900161	BARA₂~b
o0900170	BIR₃~a
o0900172	BIR₃~b
o0900200	|BU~a+DU₆~a|
o0900192	|(BU~a&BU~a).NA₂~a|
o0900176	BU~a
o0900238	DARA₃~c
o0900263	DIB
o0900265	DILMUN
o0900266	DILMUN
o0900285	DU₆~a
o0900295	DU₈~b
o0900310	DU₈~c@g
o0900314	DUB~b
o0900315	DUB~b
o0900316	DUB~b
o0900317	DUB~b
o0900332	DUG~a
o0900333	DUG~a
o0900361	|DUG~b×GEŠTU~a|
o0900362	|DUG~b×GEŠTU~a|
o0900335	DUG~b
o0900352	|DUG~b×DIN|
o0900371	|DUG~b×HI|
o0900392	|DUG~b×MAŠ|
o0900434	|DUG~b×ŠE~a|
o0900451	|DUG~b×U₂~b|
o0900452	|DUG~b×U₂~b|
o0900462	|DUG~b×X|
o0900396	|DUG~b×1(N57)|
o0900336	DUG~c
o0900337	DUG~c
o0900397	|DUG~c×1(N57)|
o0900398	|DUG~c×1(N57)|
o0900399	|DUG~c×1(N57)|
o0900514	EN~a
o0900515	EN~a
o0900516	EN~a
o0900518	EN~b
o0900520	EN~c
o0900536	ENKUM
o0900551	EZEN~a
o0900600	GA~a
o0900601	GA~a
o0900602	GA~a
o0900603	GA~a
o0900607	|GA~a.ZATU753|
o0900608	|GA~a.ZATU753|
o0900737	GAN~a
o0900739	GAN~b
o0900740	GAN~b
o0900741	GAN~b
o0900743	GAN~c
o0900798	GEŠTU~a
o0900799	GEŠTU~a
o0900802	GEŠTU~c3
o0900807	GI
o0900837	GI₆
o0900847	GIR~b
o0900894	GIŠGAL
o0900900	GIŠIMMAR~b1
o0900901	GIŠIMMAR~b1
o0900909	GU₄
o0900913	GU₇
o0900921	GUG₂
o0900942	GUM~b@n
o0900939	GUM~b
o0900949	GURUŠ~a
o0900963	|HI.SUHUR|
o0900964	|HI.SUHUR|
o0900989	IDIGNA
o0901006	IN~b
o0901017	IR₁₁
o0901021	IŠ~a
o0901023	IŠ~b
o0901024	IŠ~b
o0901025	IŠ~b
o0901026	IŠ~b
o0901027	IŠ~b
o0901059	KAL~b1
o0901079	KAŠ~a
o0901081	KAŠ~b
o0901110	KINGAL
o0901124	KISIM~b
o0901125	KISIM~b
o0901126	KISIM~b
o0901129	KIŠ
o0901134	KITI
o0901161	KUR~c
o0901285	LAM~b
o0901286	LAM~b
o0901302	LI
o0901305	LU₂
o0901306	LU₂
o0901311	LUGAL
o0901314	MA
o0901362	MAR~a
o0901385	MEN~a
o0901388	MES
o0901394	MUD
o0901425	MUŠ₃~a@g
o0901420	MUŠ₃~a
o0901421	MUŠ₃~a
o0901443	NA₂~a
o0901449	NAB
o0901450	NAB
o0901458	NAGAR~a
o0901459	NAGAR~a
o0901460	NAGAR~a
o0901462	NAGAR~b
o0901473	NAMEŠDA
o0901476	NANNA~a
o0901484	NE~a
o0901485	NE~a
o0901497	NESAG₂~b
o0901522	NIMGIR
o0901526	NINDA₂
o0901595	NUN~c
o0901596	NUN~c
o0901597	NUN~c
o0901619	NUNUZ~c
o0901620	NUNUZ~c
o0901621	NUNUZ~c
o0901626	PA~a
o0901627	PA~a
o0901641	PAP~b
o0901671	RU
o0901676	SA~c
o0901678	SAG
o0901679	SAG
o0901710	SANGA~a
o0901711	SANGA~a
o0901713	SANGA~b
o0901725	SI
o0901743	SI₄~d
o0901745	SI₄~f
o0901754	SIG₂~a3
o0901755	SIG₂~a3
o0901762	SIG₂~d2
o0901772	SIG₇
o0901786	|SILA₃~a×DUG~a|
o0901785	|SILA₃~a×DUG~a|
o0901867	SIMUG
o0901871	SU~a
o0901897	SUKUD@g~b
o0901903	SUM~a
o0901911	ŠA
o0901912	ŠA
o0901927	ŠAB~a
o0901929	ŠAB~b
o0901931	ŠAGAN
o0901956	|ŠE~a.NAM₂|
o0901963	ŠE₃
o0901965	ŠE₃@t
o0901970	ŠEN~a
o0901972	ŠEN~b
o0901975	ŠEN~d
o0901976	ŠEN~d
o0901987	ŠEŠ~a
o0901994	ŠIM~a
o0901995	ŠIM~a
o0901999	ŠIR~a
o0902001	ŠIR~b
o0902002	ŠIR~b
o0902046	|ŠU₂~a.EN~a|
o0902047	|ŠU₂~a.EN~a|
o0902069	ŠURUPPAK~a
o0902071	ŠURUPPAK~b
o0902095	TAK₄~a
o0902104	TI
o0902124	TUG₂~a@g
o0902140	TUR
o0902141	TUR
o0902142	TUR
o0902158	U₂~b
o0902159	U₂~b
o0902221	U₈
o0902222	U₈
o0902223	U₈
o0902231	UBI~c
o0902235	UD₅~a
o0902236	UD₅~a
o0902262	UKKIN~a
o0902264	UKKIN~b
o0902291	UMUN₂
o0902294	UNUG~a
o0902314	UR₃~a1
o0902333	URI₃~a
o0902374	URUDU~a
o0902375	URUDU~a
o0902386	UŠ~b
o0902389	|UŠ~b×TAR~c|
o0902402	UTUA~b
o0902423	ZAG~a
o0902439	ZATU623
o0902440	ZATU623
o0902446	ZATU625
o0902454	ZATU628~a
o0902457	ZATU629
o0902462	ZATU632~a
o0902471	ZATU636
o0902485	ZATU647
o0902488	ZATU649
o0902491	ZATU651
o0902492	ZATU651
o0902512	ZATU662
o0902513	ZATU662
o0902514	ZATU662
o0902516	|ZATU662×1(N14)|
o0902517	|ZATU662×1(N14)|
o0902530	ZATU675~b
o0902545	ZATU680~b
o0902569	ZATU693
o0902570	ZATU693
o0902576	ZATU694~c
o0902585	ZATU697~a
o0902586	ZATU697~a
o0902587	ZATU697~a
o0902606	ZATU710
o0902608	ZATU711
o0902627	ZATU725
o0902635	ZATU729
o0902643	ZATU735~b
o0902644	ZATU735~b
o0902650	ZATU737
o0902651	ZATU737
o0902666	|ZATU737×GAR|
o0902659	|ZATU737×DI|
o0902688	ZATU749~a
o0902689	ZATU749~a
o0902693	ZATU750
o0902694	ZATU750
o0902695	ZATU750
o0902700	ZATU752
o0902707	ZATU756
o0902709	ZATU757
o0902712	ZATU759
o0902723	ZATU762~a
o0902724	ZATU762~a
o0902740	ZATU773~a
o0902745	ZATU776
o0902747	ZATU777
o0902748	ZATU777
o0902807	ZATU839
o0902830	ZI~a
o0903221	|1(N57).ŠUBUR|
